,target_name_x,accession_1_x,query_name_x,accession_2_x,E-value_1_x,score_1_x,bias_1_x,E-value_2_x,score_2_x,bias_2_x,exp_x,reg_x,clu_x,ov_x,env_x,dom_x,rep_x,inc_x,description_x,TC,new_encoded_TC_2,accession_code,subfamilies,target_name_y,accession_1_y,query_name_y,accession_2_y,E-value_1_y,score_1_y,bias_1_y,E-value_2_y,score_2_y,bias_2_y,exp_y,reg_y,clu_y,ov_y,env_y,dom_y,rep_y,inc_y,description_y,D_classes,host,Names
10,sp|P03743|FIB36_BPT4,-,cluster_11,-,7.7e-132,437.6,10.9,8.6e-132,437.4,10.9,1.0,1,0,0,1,1,1,1,Long-tail fiber protein gp36 OS=Enterobacteria phage T4 OX=10665 GN=36 PE=1 SV=1,TC11,TC11,P03743,Straboviridae,sp|P03743|FIB36_BPT4,-,cluster_D81,-,8.7e-42,140.6,0.5,1.9e-41,139.5,0.5,1.6,1,0,0,1,1,1,1,Long-tail fiber protein gp36 OS=Enterobacteria phage T4 OX=10665 GN=36 PE=1 SV=1,D81,Enterobacteria,Enterobacteria phage T4
11,sp|P03744|FIB37_BPT4,-,cluster_14,-,1.7000000000000002e-249,830.7,50.5,2.4e-249,830.2,50.5,1.2,1,0,0,1,1,1,1,Long-tail fiber protein gp37 OS=Enterobacteria phage T4 OX=10665 GN=37 PE=1 SV=1,TC14,TC14TC13TC6TC7TC0,P03744,Straboviridae,sp|P03744|FIB37_BPT4,-,cluster_D30,-,2.9e-52,175.0,4.0,2e-51,172.3,4.0,2.6,1,0,0,1,1,1,1,Long-tail fiber protein gp37 OS=Enterobacteria phage T4 OX=10665 GN=37 PE=1 SV=1,D30,Enterobacteria,Enterobacteria phage T4
12,sp|P03748|FIBER_BPT7,-,cluster_16,-,1.8e-99,333.7,34.9,5.999999999999999e-76,256.0,17.2,3.1,2,1,1,3,3,3,3,Tail fiber protein OS=Escherichia phage T7 OX=10760 GN=17 PE=1 SV=1,TC16,TC16,P03748,Autographiviridae,sp|P03748|FIBER_BPT7,-,cluster_D66,-,7.5e-60,200.6,6.1,3.7000000000000004e-59,198.3,4.0,2.6,2,0,0,2,2,1,1,Tail fiber protein OS=Escherichia phage T7 OX=10760 GN=17 PE=1 SV=1,D66,Escherichia,Escherichia phage T7
13,sp|P07066|VG36_BPT2,-,cluster_11,-,2.1e-128,426.4,6.7,2.3e-128,426.2,6.7,1.0,1,0,0,1,1,1,1,Tail fiber protein p36 OS=Enterobacteria phage T2 OX=2060721 GN=36 PE=4 SV=1,TC11,TC11,P07066,Straboviridae,sp|P07066|VG36_BPT2,-,cluster_D81,-,5.4e-41,138.0,0.4,1e-40,137.2,0.4,1.5,1,0,0,1,1,1,1,Tail fiber protein p36 OS=Enterobacteria phage T2 OX=2060721 GN=36 PE=4 SV=1,D81,Enterobacteria,Enterobacteria phage T2
14,sp|P07626|VG36_BPK3,-,cluster_11,-,2.9e-99,331.1,3.7,3.8e-99,330.7,3.7,1.1,1,0,0,1,1,1,1,Tail fiber protein p36 OS=Enterobacteria phage K3 OX=10674 GN=36 PE=4 SV=1,TC11,TC11,P07626,Straboviridae,sp|P07626|VG36_BPK3,-,cluster_D81,-,3.6999999999999997e-41,138.6,0.5,7e-41,137.7,0.5,1.5,1,0,0,1,1,1,1,Tail fiber protein p36 OS=Enterobacteria phage K3 OX=10674 GN=36 PE=4 SV=1,D81,Enterobacteria,Enterobacteria phage K3
15,sp|P07627|VG36_BPOX2,-,cluster_11,-,8.1e-89,296.9,7.2,9.6e-89,296.7,7.2,1.1,1,0,0,1,1,1,1,Tail fiber protein p36 OS=Enterobacteria phage Ox2 OX=10691 GN=36 PE=4 SV=1,TC11,TC11,P07627,Straboviridae,sp|P07627|VG36_BPOX2,-,cluster_D81,-,4.1e-39,132.0,0.6,4.1e-39,132.0,0.6,1.8,2,0,0,2,2,1,1,Tail fiber protein p36 OS=Enterobacteria phage Ox2 OX=10691 GN=36 PE=4 SV=1,D81,Enterobacteria,Enterobacteria phage Ox2
16,sp|P10308|FIBER_BPT3,-,cluster_16,-,9.1e-88,295.1,27.1,9.1e-76,255.5,19.0,3.4,2,1,1,3,3,3,3,Tail fiber protein OS=Enterobacteria phage T3 OX=10759 GN=17 PE=3 SV=1,TC16,TC16,P10308,Autographiviridae,sp|P10308|FIBER_BPT3,-,cluster_D66,-,4.3e-59,198.1,5.4,4.8e-59,198.0,2.9,2.3,2,1,1,3,3,1,1,Tail fiber protein OS=Enterobacteria phage T3 OX=10759 GN=17 PE=3 SV=1,D66,Enterobacteria,Enterobacteria phage T3
17,sp|P18771|FIBP_BPT4,-,cluster_0,-,0.0,2913.6,51.4,0.0,2913.5,51.4,1.0,1,0,0,1,1,1,1,Long-tail fiber proximal subunit OS=Enterobacteria phage T4 OX=10665 GN=34 PE=1 SV=2,TC0,TC0TC14,P18771,Straboviridae,sp|P18771|FIBP_BPT4,-,cluster_D38,-,1.7999999999999998e-120,395.3,36.7,1.1000000000000001e-60,202.6,13.3,4.1,3,1,1,4,4,4,3,Long-tail fiber proximal subunit OS=Enterobacteria phage T4 OX=10665 GN=34 PE=1 SV=2,D38,Enterobacteria,Enterobacteria phage T4
18,sp|Q6XQB2|FIBER_BPT1,-,cluster_7,-,6.8e-12,44.8,19.8,9.6e-12,44.3,19.8,1.3,1,0,0,1,1,1,1,Probable tail fiber protein OS=Escherichia phage T1 OX=2492962 GN=26 PE=4 SV=1,TC7,TC7,Q6XQB2,Drexlerviridae,sp|Q6XQB2|FIBER_BPT1,-,cluster_D7,-,3.6e-14,52.6,2.2,2.6e-13,49.9,0.0,3.0,2,1,1,3,3,2,1,Probable tail fiber protein OS=Escherichia phage T1 OX=2492962 GN=26 PE=4 SV=1,D7,Escherichia,Escherichia phage T1
19,tr|A0A023MH13|A0A023MH13_9CAUD,-,cluster_12,-,5.6e-15,53.7,0.2,6.5e-15,53.5,0.2,1.1,1,0,0,1,1,1,1,Tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,TC12,TC12,A0A023MH13,Vequintavirinae,tr|A0A023MH13|A0A023MH13_9CAUD,-,cluster_D41,-,2e-12,46.4,0.7,1.5e-11,43.6,0.2,2.2,2,0,0,2,2,2,1,Tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,D41,Escherichia,Escherichia phage FFH2.
20,tr|A0A023MH85|A0A023MH85_9CAUD,-,cluster_15,-,3.1e-41,141.1,129.0,4.4e-39,134.0,32.6,3.1,1,1,2,3,3,3,2,Putative tail fiber protein OS=Escherichia phage vB_EcoS_FFH_1 OX=1446489 PE=4 SV=1,TC15,TC15,A0A023MH85,Demerecviridae,tr|A0A023MH85|A0A023MH85_9CAUD,-,cluster_D16,-,3.7999999999999995e-24,85.7,136.1,7.4e-20,71.7,55.0,3.7,1,1,2,3,3,3,3,Putative tail fiber protein OS=Escherichia phage vB_EcoS_FFH_1 OX=1446489 PE=4 SV=1,D16,Escherichia,Escherichia phage vB_EcoS_FFH_1.
21,tr|A0A023MH97|A0A023MH97_9CAUD,-,cluster_8,-,0.0,1384.7,21.6,0.0,1384.5,21.6,1.0,1,0,0,1,1,1,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,TC8,TC8TC10,A0A023MH97,Vequintavirinae,tr|A0A023MH97|A0A023MH97_9CAUD,-,cluster_D32,-,1e-236,784.2,20.0,1.3e-236,783.8,20.0,1.1,1,0,0,1,1,1,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,D32,Escherichia,Escherichia phage FFH2.
22,tr|A0A023MH98|A0A023MH98_9CAUD,-,cluster_1,-,1.2e-186,619.6,2.7,1.4000000000000001e-186,619.4,2.7,1.0,1,0,0,1,1,1,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,TC1,TC1,A0A023MH98,Vequintavirinae,tr|A0A023MH98|A0A023MH98_9CAUD,-,cluster_D68,-,3.4e-41,139.3,0.1,6.8e-41,138.3,0.1,1.5,1,0,0,1,1,1,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,D68,Escherichia,Escherichia phage FFH2.
23,tr|A0A023MHP3|A0A023MHP3_9CAUD,-,cluster_1,-,1.3e-227,754.4,4.3,1.4000000000000001e-227,754.2,4.3,1.0,1,0,0,1,1,1,1,Tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,TC1,TC1,A0A023MHP3,Vequintavirinae,tr|A0A023MHP3|A0A023MHP3_9CAUD,-,cluster_D82,-,5.0999999999999996e-70,233.3,1.7,9.2e-70,232.5,1.7,1.4,1,0,0,1,1,1,1,Tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,D82,Escherichia,Escherichia phage FFH2.
24,tr|A0A023MI24|A0A023MI24_9CAUD,-,cluster_4,-,4.8000000000000004e-30,103.7,43.3,1.1000000000000001e-27,95.8,41.3,3.4,2,1,0,2,2,2,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,TC4,TC4TC3,A0A023MI24,Vequintavirinae,tr|A0A023MI24|A0A023MI24_9CAUD,-,cluster_D84,-,2.2e-144,479.4,0.1,2.2e-144,479.4,0.1,1.9,3,0,0,3,3,1,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,D84,Escherichia,Escherichia phage FFH2.
25,tr|A0A023MI25|A0A023MI25_9CAUD,-,cluster_12,-,0.0,2515.7,30.0,0.0,2515.5,30.0,1.0,1,0,0,1,1,1,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,TC12,TC12,A0A023MI25,Vequintavirinae,tr|A0A023MI25|A0A023MI25_9CAUD,-,cluster_D47,-,3.9e-113,375.2,1.8,3.9e-113,375.2,1.8,2.5,3,0,0,3,3,2,1,Putative tail fiber protein OS=Escherichia phage FFH2 OX=1446490 PE=4 SV=1,D47,Escherichia,Escherichia phage FFH2.
26,tr|A0A023W601|A0A023W601_9CAUD,-,cluster_0,-,1.3e-150,503.0,49.8,9e-150,500.2,49.8,2.0,1,1,0,1,1,1,1,"Long tail fiber, proximal subunit OS=Serratia phage PS2 OX=1481112 GN=PS2_250 PE=4 SV=1",TC0,TC0,A0A023W601,unclassified,tr|A0A023W601|A0A023W601_9CAUD,-,cluster_D38,-,4.9e-54,181.1,43.9,2.7e-23,82.0,5.0,5.4,2,1,4,6,6,6,6,"Long tail fiber, proximal subunit OS=Serratia phage PS2 OX=1481112 GN=PS2_250 PE=4 SV=1",D38,Serratia,Serratia phage PS2.
27,tr|A0A023W6N2|A0A023W6N2_9CAUD,-,cluster_14,-,1.4e-11,42.8,2.6,1.4e-11,42.8,2.6,2.4,1,1,1,2,2,2,1,"Long tail fiber, distal subunit OS=Serratia phage PS2 OX=1481112 GN=PS2_253 PE=4 SV=1",TC14,TC14,A0A023W6N2,unclassified,tr|A0A023W6N2|A0A023W6N2_9CAUD,-,cluster_D72,-,2.3e-13,49.8,0.9,2.3e-13,49.8,0.9,2.7,3,0,0,3,3,1,1,"Long tail fiber, distal subunit OS=Serratia phage PS2 OX=1481112 GN=PS2_253 PE=4 SV=1",D72,Serratia,Serratia phage PS2.
28,tr|A0A023ZTT3|A0A023ZTT3_9CAUD,-,cluster_4,-,0.0,1914.3,39.4,0.0,1910.2,39.4,1.9,1,1,0,1,1,1,1,Tail fiber protein OS=Escherichia phage e4/1c OX=1495286 GN=e41c_0026 PE=4 SV=1,TC4,TC4TC3TC9,A0A023ZTT3,Drexlerviridae,tr|A0A023ZTT3|A0A023ZTT3_9CAUD,-,cluster_D39,-,1.7e-78,262.3,1.9,1.8e-78,262.2,0.1,2.0,2,0,0,2,2,1,1,Tail fiber protein OS=Escherichia phage e4/1c OX=1495286 GN=e41c_0026 PE=4 SV=1,D39,Escherichia,Escherichia phage e4/1c.
29,tr|A0A023ZUZ0|A0A023ZUZ0_9CAUD,-,cluster_11,-,4.3000000000000006e-145,480.9,9.7,4.8e-145,480.8,9.7,1.0,1,0,0,1,1,1,1,Tail fiber protein OS=Escherichia phage vB_EcoM_112 OX=1495285 GN=e112_264 PE=4 SV=1,TC11,TC11,A0A023ZUZ0,Straboviridae,tr|A0A023ZUZ0|A0A023ZUZ0_9CAUD,-,cluster_D81,-,9.2e-42,140.5,0.5,1.8e-41,139.5,0.5,1.5,1,0,0,1,1,1,1,Tail fiber protein OS=Escherichia phage vB_EcoM_112 OX=1495285 GN=e112_264 PE=4 SV=1,D81,Escherichia,Escherichia phage vB_EcoM_112.
30,tr|A0A023ZW45|A0A023ZW45_9CAUD,-,cluster_0,-,1.6e-14,52.1,9.0,2.6e-14,51.5,9.0,1.3,1,0,0,1,1,1,1,Short tail fibers protein OS=Escherichia phage vB_EcoM_112 OX=1495285 GN=e112_170 PE=4 SV=1,TC0,TC0,A0A023ZW45,Straboviridae,tr|A0A023ZW45|A0A023ZW45_9CAUD,-,cluster_D38,-,8.4e-24,83.6,11.2,3.2e-10,39.9,2.0,4.2,3,1,1,4,4,4,3,Short tail fibers protein OS=Escherichia phage vB_EcoM_112 OX=1495285 GN=e112_170 PE=4 SV=1,D38,Escherichia,Escherichia phage vB_EcoM_112.
31,tr|A0A023ZWA7|A0A023ZWA7_9CAUD,-,cluster_0,-,0.0,2992.7,56.1,0.0,2992.5,56.1,1.0,1,0,0,1,1,1,1,Long tail fiber proximal subunit OS=Escherichia phage vB_EcoM_112 OX=1495285 GN=e112_262 PE=4 SV=1,TC0,TC0TC14,A0A023ZWA7,Straboviridae,tr|A0A023ZWA7|A0A023ZWA7_9CAUD,-,cluster_D38,-,3e-120,394.6,40.4,7.4e-61,203.1,13.0,4.2,4,0,0,4,4,3,3,Long tail fiber proximal subunit OS=Escherichia phage vB_EcoM_112 OX=1495285 GN=e112_262 PE=4 SV=1,D38,Escherichia,Escherichia phage vB_EcoM_112.
32,tr|A0A023ZWE7|A0A023ZWE7_BPT4,-,cluster_11,-,7.7e-132,437.6,10.9,8.6e-132,437.4,10.9,1.0,1,0,0,1,1,1,1,Hinge connector of long tail fiber distal connector OS=Enterobacteria phage T4 OX=10665 GN=36 PE=4 S,TC11,TC11,A0A023ZWE7,Straboviridae,tr|A0A023ZWE7|A0A023ZWE7_BPT4,-,cluster_D81,-,8.7e-42,140.6,0.5,1.9e-41,139.5,0.5,1.6,1,0,0,1,1,1,1,Hinge connector of long tail fiber distal connector OS=Enterobacteria phage T4 OX=10665 GN=36 PE=4 S,D81,Enterobacteria,Enterobacteria phage T4
33,tr|A0A059VFW2|A0A059VFW2_9CAUD,-,cluster_16,-,6.199999999999999e-90,302.3,37.8,1.2e-89,301.4,37.8,1.5,1,0,0,1,1,1,1,Tail fiber protein OS=Pseudomonas phage phiPSA2 OX=1500756 GN=phiPSA2_41 PE=4 SV=1,TC16,TC16,A0A059VFW2,Autographiviridae,tr|A0A059VFW2|A0A059VFW2_9CAUD,-,cluster_D66,-,5.400000000000001e-59,197.8,3.0,5.400000000000001e-59,197.8,3.0,2.0,2,0,0,2,2,1,1,Tail fiber protein OS=Pseudomonas phage phiPSA2 OX=1500756 GN=phiPSA2_41 PE=4 SV=1,D66,Pseudomonas,Pseudomonas phage phiPSA2.
34,tr|A0A059VFW9|A0A059VFW9_9CAUD,-,cluster_9,-,2.8000000000000004e-180,601.2,18.0,1.7000000000000001e-178,595.3,18.0,2.0,1,1,0,1,1,1,1,Tail fiber protein OS=Pseudomonas phage phiPSA1 OX=1500757 PE=4 SV=1,TC9,TC9TC4TC3,A0A059VFW9,unclassified,tr|A0A059VFW9|A0A059VFW9_9CAUD,-,cluster_D84,-,2.1000000000000002e-58,197.7,0.0,4.2000000000000005e-58,196.7,0.0,1.5,1,0,0,1,1,1,1,Tail fiber protein OS=Pseudomonas phage phiPSA1 OX=1500757 PE=4 SV=1,D84,Pseudomonas,Pseudomonas phage phiPSA1.
35,tr|A0A060AHF1|A0A060AHF1_9CAUD,-,cluster_0,-,6.200000000000001e-156,520.6,24.7,7.8e-156,520.3,24.7,1.1,1,0,0,1,1,1,1,Putative proximal tail fiber subunit OS=Cronobacter phage S13 OX=1327935 GN=S13_010 PE=4 SV=1,TC0,TC0,A0A060AHF1,Straboviridae,tr|A0A060AHF1|A0A060AHF1_9CAUD,-,cluster_D38,-,1.5999999999999999e-62,208.5,27.9,3.1e-33,114.0,4.1,5.0,2,1,3,5,5,5,5,Putative proximal tail fiber subunit OS=Cronobacter phage S13 OX=1327935 GN=S13_010 PE=4 SV=1,D38,Cronobacter,Cronobacter phage S13.
36,tr|A0A060AM57|A0A060AM57_9CAUD,-,cluster_1,-,8.1e-20,71.0,0.6,8.1e-20,71.0,0.6,2.7,3,0,0,3,3,2,1,Putative tail fiber protein 1 OS=Cronobacter phage CR8 OX=1327934 GN=CR8_028 PE=4 SV=1,TC1,TC1,A0A060AM57,Vequintavirinae,tr|A0A060AM57|A0A060AM57_9CAUD,-,cluster_D68,-,2.9e-20,72.2,0.1,6.6e-20,71.1,0.1,1.6,1,0,0,1,1,1,1,Putative tail fiber protein 1 OS=Cronobacter phage CR8 OX=1327934 GN=CR8_028 PE=4 SV=1,D68,Cronobacter,Cronobacter phage CR8.
37,tr|A0A060AM61|A0A060AM61_9CAUD,-,cluster_8,-,3.8999999999999996e-75,253.3,82.3,1.4e-60,205.3,3.9,7.0,2,2,3,5,5,5,4,Putative tail fiber protein 2 OS=Cronobacter phage CR8 OX=1327934 GN=CR8_033 PE=4 SV=1,TC8,TC8,A0A060AM61,Vequintavirinae,tr|A0A060AM61|A0A060AM61_9CAUD,-,cluster_D59,-,4.2999999999999996e-24,84.3,0.2,8.899999999999999e-24,83.3,0.2,1.5,1,0,0,1,1,1,1,Putative tail fiber protein 2 OS=Cronobacter phage CR8 OX=1327934 GN=CR8_033 PE=4 SV=1,D59,Cronobacter,Cronobacter phage CR8.
38,tr|A0A060BGX1|A0A060BGX1_9CAUD,-,cluster_0,-,0.0,2548.7,59.4,0.0,2548.5,59.4,1.0,1,0,0,1,1,1,1,Putative long tail fiber proximal subunit OS=Escherichia phage vB_EcoM_JS09 OX=1430444 GN=JS09_0204,TC0,TC0TC14,A0A060BGX1,Straboviridae,tr|A0A060BGX1|A0A060BGX1_9CAUD,-,cluster_D57,-,3.3e-117,388.0,4.0,3.3e-117,388.0,4.0,2.0,2,0,0,2,2,1,1,Putative long tail fiber proximal subunit OS=Escherichia phage vB_EcoM_JS09 OX=1430444 GN=JS09_0204,D57,Escherichia,Escherichia phage vB_EcoM_JS09.
39,tr|A0A060BHK4|A0A060BHK4_9CAUD,-,cluster_11,-,8.6e-127,421.1,11.2,9.6e-127,420.9,11.2,1.0,1,0,0,1,1,1,1,Tail fiber protein OS=Escherichia phage vB_EcoM_JS09 OX=1430444 GN=JS09_0202 PE=4 SV=1,TC11,TC11,A0A060BHK4,Straboviridae,tr|A0A060BHK4|A0A060BHK4_9CAUD,-,cluster_D81,-,3.2e-37,126.0,0.3,8e-37,124.7,0.3,1.7,1,0,0,1,1,1,1,Tail fiber protein OS=Escherichia phage vB_EcoM_JS09 OX=1430444 GN=JS09_0202 PE=4 SV=1,D81,Escherichia,Escherichia phage vB_EcoM_JS09.
40,tr|A0A060BN58|A0A060BN58_9CAUD,-,cluster_14,-,2.1e-222,740.9,41.6,2.8000000000000003e-182,608.1,17.0,4.0,2,1,2,4,4,3,3,Long tail fiber distal subunit OS=Escherichia phage vB_EcoM_JS09 OX=1430444 GN=JS09_0201 PE=3 SV=1,TC14,TC14TC13TC6,A0A060BN58,Straboviridae,tr|A0A060BN58|A0A060BN58_9CAUD,-,cluster_D30,-,2.9e-53,178.2,1.9,2.9e-53,178.2,1.9,3.1,2,0,0,2,2,2,1,Long tail fiber distal subunit OS=Escherichia phage vB_EcoM_JS09 OX=1430444 GN=JS09_0201 PE=3 SV=1,D30,Escherichia,Escherichia phage vB_EcoM_JS09.
41,tr|A0A060DBA7|A0A060DBA7_9CAUD,-,cluster_10,-,5.3e-17,61.4,0.1,1e-16,60.5,0.1,1.4,1,0,0,1,1,1,1,Lyase OS=Escherichia phage PE3-1 OX=1498170 GN=PE3_043 PE=4 SV=1,TC10,TC10TC16TC12,A0A060DBA7,Autographiviridae,tr|A0A060DBA7|A0A060DBA7_9CAUD,-,cluster_D41,-,4.7e-22,77.2,0.8,1.2e-21,75.9,0.2,2.0,2,0,0,2,2,1,1,Lyase OS=Escherichia phage PE3-1 OX=1498170 GN=PE3_043 PE=4 SV=1,D41,Escherichia,Escherichia phage PE3-1.
